"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 26 02:44:50 UTC 2023","Sat Aug 26 02:44:57 UTC 2023","7348","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sat Aug 26 02:25:24 UTC 2023","Sat Aug 26 02:25:31 UTC 2023","7031","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Aug 26 03:52:38 UTC 2023","Sat Aug 26 03:52:40 UTC 2023","2094","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sat Aug 26 02:27:18 UTC 2023","Sat Aug 26 02:27:27 UTC 2023","9905","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sat Aug 26 03:25:06 UTC 2023","Sat Aug 26 03:25:20 UTC 2023","14616","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sat Aug 26 04:01:52 UTC 2023","Sat Aug 26 04:01:55 UTC 2023","2706","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Aug 26 04:02:04 UTC 2023","Sat Aug 26 04:02:31 UTC 2023","27028","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Sat Aug 26 02:25:31 UTC 2023","Sat Aug 26 02:25:40 UTC 2023","8672","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sat Aug 26 03:52:29 UTC 2023","Sat Aug 26 03:52:38 UTC 2023","8655","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sat Aug 26 02:41:20 UTC 2023","Sat Aug 26 02:41:24 UTC 2023","3518","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sat Aug 26 03:06:18 UTC 2023","Sat Aug 26 03:06:19 UTC 2023","953","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sat Aug 26 03:44:19 UTC 2023","Sat Aug 26 03:44:22 UTC 2023","3194","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Sat Aug 26 03:44:24 UTC 2023","Sat Aug 26 03:44:25 UTC 2023","1253","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sat Aug 26 03:12:33 UTC 2023","Sat Aug 26 03:12:34 UTC 2023","1473","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sat Aug 26 02:30:07 UTC 2023","Sat Aug 26 02:30:28 UTC 2023","20751","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Aug 26 03:05:23 UTC 2023","Sat Aug 26 03:05:35 UTC 2023","11436","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat Aug 26 02:33:02 UTC 2023","Sat Aug 26 02:33:21 UTC 2023","18725","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Sat Aug 26 03:40:56 UTC 2023","Sat Aug 26 03:41:06 UTC 2023","10086","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sat Aug 26 03:44:23 UTC 2023","Sat Aug 26 03:44:24 UTC 2023","1455","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sat Aug 26 02:25:03 UTC 2023","Sat Aug 26 02:25:06 UTC 2023","2757","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Aug 26 02:19:09 UTC 2023","Sat Aug 26 02:19:14 UTC 2023","4180","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sat Aug 26 02:45:12 UTC 2023","Sat Aug 26 02:45:16 UTC 2023","3941","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Aug 26 03:06:05 UTC 2023","Sat Aug 26 03:06:06 UTC 2023","1327","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sat Aug 26 02:48:36 UTC 2023","Sat Aug 26 02:48:39 UTC 2023","2957","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sat Aug 26 02:39:01 UTC 2023","Sat Aug 26 02:39:05 UTC 2023","4620","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Aug 26 03:51:14 UTC 2023","Sat Aug 26 03:52:25 UTC 2023","70908","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Sat Aug 26 02:49:29 UTC 2023","Sat Aug 26 02:49:29 UTC 2023","532","","6. Company Account","","","","9. Review Final Review",""
"passed","Sat Aug 26 02:49:16 UTC 2023","Sat Aug 26 02:49:25 UTC 2023","9677","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sat Aug 26 02:48:08 UTC 2023","Sat Aug 26 02:48:27 UTC 2023","18715","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sat Aug 26 02:31:06 UTC 2023","Sat Aug 26 02:31:14 UTC 2023","7262","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Aug 26 02:55:25 UTC 2023","Sat Aug 26 02:55:48 UTC 2023","23350","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat Aug 26 03:47:00 UTC 2023","Sat Aug 26 03:47:30 UTC 2023","30544","","21. Forgot password function","","","","2. Reset password",""
"passed","Sat Aug 26 03:17:53 UTC 2023","Sat Aug 26 03:18:07 UTC 2023","13721","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sat Aug 26 03:12:28 UTC 2023","Sat Aug 26 03:12:33 UTC 2023","4795","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sat Aug 26 02:48:54 UTC 2023","Sat Aug 26 02:48:59 UTC 2023","4963","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sat Aug 26 03:50:00 UTC 2023","Sat Aug 26 03:50:00 UTC 2023","43","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Sat Aug 26 03:41:06 UTC 2023","Sat Aug 26 03:41:09 UTC 2023","2574","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
